((11, 53), 0.46399999999999997)
((12, 16), 0.46399999999999997)
((12, 54), 0.46399999999999997)
((13, 39), 0.46399999999999997)
((15, 53), 0.46399999999999997)
((8, 12), 0.46799999999999997)
((11, 57), 0.46799999999999997)
((12, 27), 0.46799999999999997)
((13, 50), 0.46799999999999997)
((16, 24), 0.46799999999999997)
((18, 24), 0.46799999999999997)
((20, 22), 0.46799999999999997)
((8, 17), 0.472)
((8, 23), 0.472)
((10, 43), 0.472)
((12, 41), 0.472)
((13, 43), 0.472)
((15, 23), 0.472)
((15, 43), 0.472)
((16, 30), 0.472)
((1, 12), 0.476)
((4, 9), 0.476)
((10, 52), 0.476)
((12, 18), 0.476)
((12, 45), 0.476)
((13, 48), 0.476)
((15, 57), 0.476)
((10, 58), 0.48)
((12, 51), 0.48)
((13, 56), 0.48)
((14, 24), 0.48)
((12, 20), 0.484)
((12, 38), 0.484)
((12, 56), 0.484)
((14, 27), 0.484)
((17, 24), 0.484)
((18, 27), 0.484)
((39, 46), 0.484)
((10, 51), 0.488)
((11, 52), 0.488)
((12, 15), 0.488)
((12, 17), 0.488)
((12, 28), 0.488)
((12, 50), 0.488)
((14, 43), 0.488)
((14, 44), 0.488)
((15, 24), 0.488)
((15, 50), 0.488)
((16, 23), 0.488)
((16, 54), 0.488)
((24, 27), 0.488)
((0, 12), 0.492)
((3, 17), 0.492)
((10, 23), 0.492)
((13, 42), 0.492)
((14, 35), 0.492)
((15, 40), 0.492)
((15, 51), 0.492)
((10, 12), 0.496)
((12, 14), 0.496)
((12, 33), 0.496)
((12, 43), 0.496)
((15, 56), 0.496)
((16, 40), 0.496)
((18, 33), 0.496)
((1, 28), 0.5)
((11, 58), 0.5)
((12, 24), 0.5)
((12, 40), 0.5)
((13, 57), 0.5)
((14, 36), 0.5)
((16, 57), 0.5)
((19, 27), 0.5)
((11, 54), 0.504)
((12, 53), 0.504)
((13, 45), 0.504)
((19, 30), 0.504)
((2, 17), 0.508)
((11, 19), 0.508)
((12, 42), 0.508)
((14, 48), 0.508)
((16, 38), 0.508)
((16, 48), 0.508)
((16, 50), 0.508)
((10, 53), 0.512)
((10, 54), 0.512)
((12, 47), 0.512)
((13, 52), 0.512)
((16, 53), 0.512)
((18, 35), 0.512)
((19, 33), 0.512)
((11, 50), 0.516)
((11, 51), 0.516)
((12, 48), 0.516)
((12, 58), 0.516)
((16, 18), 0.516)
((12, 23), 0.52)
((18, 36), 0.52)
((2, 12), 0.524)
((10, 45), 0.524)
((11, 43), 0.524)
((14, 38), 0.524)
((15, 41), 0.524)
((16, 41), 0.524)
((16, 51), 0.524)
((11, 49), 0.528)
((14, 41), 0.528)
((16, 44), 0.528)
((17, 40), 0.528)
((8, 34), 0.532)
((19, 40), 0.532)
((19, 44), 0.532)
((27, 47), 0.532)
((16, 17), 0.536)
((17, 27), 0.536)
((17, 49), 0.536)
((20, 23), 0.536)
((2, 28), 0.54)
((14, 40), 0.54)
((14, 49), 0.54)
((14, 51), 0.54)
((14, 53), 0.54)
((17, 35), 0.54)
((17, 56), 0.54)
((20, 30), 0.54)
((21, 22), 0.54)
((3, 46), 0.544)
((11, 17), 0.544)
((12, 36), 0.544)
((12, 49), 0.544)
((14, 23), 0.544)
((16, 42), 0.544)
((16, 49), 0.544)
((17, 38), 0.544)
((17, 42), 0.544)
((17, 51), 0.544)
((12, 19), 0.548)
((12, 46), 0.548)
((12, 57), 0.548)
((14, 42), 0.548)
((14, 52), 0.548)
((16, 31), 0.548)
((17, 45), 0.548)
((15, 17), 0.552)
((17, 31), 0.552)
((23, 39), 0.552)
((2, 18), 0.556)
((14, 50), 0.556)
((14, 57), 0.556)
((15, 49), 0.556)
((16, 56), 0.556)
((17, 30), 0.556)
((17, 41), 0.556)
((17, 57), 0.556)
((20, 35), 0.556)
((22, 30), 0.556)
((14, 17), 0.56)
((15, 58), 0.56)
((16, 52), 0.56)
